;source;search;name;link;compensation_min;compensation_max;compensation_currency
201;https://hh.ru;Data science;Data Scientist ASR;https://hh.ru/vacancy/42351456?query=Data%20science;230000;400000;руб.
202;https://hh.ru;Data science;Data scientist/Machine learning engineer в Команду CoreML;https://hh.ru/vacancy/42449951?query=Data%20science;;;
203;https://hh.ru;Data science;Machine Learning Engineer;https://hh.ru/vacancy/42665747?query=Data%20science;;;
204;https://hh.ru;Data science;Senior/Middle Data Scientists;https://hh.ru/vacancy/42539763?query=Data%20science;;;
205;https://hh.ru;Data science;Machine Learning Engineer;https://hh.ru/vacancy/42563680?query=Data%20science;;;
206;https://hh.ru;Data science;Data Scientist (Управление внутреннего аудита);https://hh.ru/vacancy/42450780?query=Data%20science;;;
207;https://hh.ru;Data science;Lead Big Data Engineer;https://hh.ru/vacancy/42491138?query=Data%20science;;;
208;https://hh.ru;Data science;Data Scientist / ML Engineer for LENOVO;https://hh.ru/vacancy/42596074?query=Data%20science;;;
209;https://hh.ru;Data science;Программист / Ведущий программист Data Science (computer vision);https://hh.ru/vacancy/42366566?query=Data%20science;;;
210;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42493251?query=Data%20science;;;
211;https://hh.ru;Data science;Scientific Programmer C++;https://hh.ru/vacancy/42427867?query=Data%20science;250000;;руб.
212;https://hh.ru;Data science;Data Engineer (Graph);https://hh.ru/vacancy/42381809?query=Data%20science;;;
213;https://hh.ru;Data science;Reporting Analyst;https://hh.ru/vacancy/42560563?query=Data%20science;;;
214;https://hh.ru;Data science;Clinical Data Manager;https://hh.ru/vacancy/42393102?query=Data%20science;160000;;руб.
215;https://hh.ru;Data science;Big Data разработчик;https://hh.ru/vacancy/42542739?query=Data%20science;;;
216;https://hh.ru;Data science;Data / ML Engineer;https://hh.ru/vacancy/42412437?query=Data%20science;;;
217;https://hh.ru;Data science;Senior DevOps engineer (Data Science project);https://hh.ru/vacancy/42496005?query=Data%20science;;;
218;https://hh.ru;Data science;Data Engineer;https://hh.ru/vacancy/42629190?query=Data%20science;;;
219;https://hh.ru;Data science;Системный аналитик в области data science;https://hh.ru/vacancy/42400153?query=Data%20science;;;
220;https://hh.ru;Data science;Senior Java Developer for Big Data product;https://hh.ru/vacancy/42419690?query=Data%20science;;;
221;https://hh.ru;Data science;Аналитик данных;https://hh.ru/vacancy/42492799?query=Data%20science;;;
